date,shengchan,xindingdan,xinchukoudingdan,jinkou,goujinjiage,yuancailiaokucun,caogouliang,chanchengpinkucun,chuchangjiage,jiyadingdan,congyerenyuan,gongyingshangpeisongshijian,shengchanjingyinghuodongyuqi
Jan-07,60.3,59.6,55.2,55,55.4,50.6,59.7,45.5,#N/A,52,50.1,52.6,#N/A
Dec-06,59.2,58.9,55,52.4,57.5,49.5,56.9,46.5,#N/A,50.3,51,52,#N/A
Nov-06,61,59.6,57.1,52,55.3,48.8,59.9,45.2,#N/A,49.5,50.5,51.9,#N/A
Oct-06,58.2,59.7,57.4,52,53.5,47.8,58.3,44,#N/A,49.6,51.5,52.2,#N/A
Sep-06,62,62.7,60.2,54.8,56.7,50.1,61.7,44.7,#N/A,53.2,52.9,52.6,#N/A
Aug-06,56,57.3,55,49.6,59.7,45.1,54.9,44.5,#N/A,50,50.9,51.8,#N/A
Jul-06,55.5,54.4,55.2,50.4,60,46.8,52.1,48,#N/A,48,51.3,51.5,#N/A
Jun-06,58.7,57.3,58,51.5,64.1,46.6,53.9,46.8,#N/A,50.6,50.8,50.6,#N/A
May-06,58.7,61,58.9,54.8,63.4,45.6,57.5,42.9,#N/A,50.9,50.1,51.8,#N/A
Apr-06,65.1,65.1,61.7,57,63.3,47.9,62.7,44.8,#N/A,51.8,50.5,50.9,#N/A
Mar-06,58.2,60.7,58.7,55.5,55.1,48.9,59.1,46.8,#N/A,53.4,51.4,50.8,#N/A
Feb-06,53.2,55.7,53.8,50.8,55.4,45.7,54.8,45.9,#N/A,48.7,50.3,50.2,#N/A
Jan-06,53.9,55.7,50.4,49.7,54,47.4,55.3,44.6,#N/A,46,48.8,50.6,#N/A
Dec-05,58.7,58.9,56.4,50.9,49.5,48.1,57,44.7,#N/A,48.8,50.4,52.8,#N/A
Nov-05,58.8,58,57.6,51.7,47.9,46.4,55.6,44.8,#N/A,48.1,50.9,52.4,#N/A
Oct-05,59.7,58.1,55.1,52,50.8,45.5,58.4,46.2,#N/A,48.4,50.1,52,#N/A
Sep-05,61,58.4,57.2,54.3,52.8,48,58.1,45.8,#N/A,49.4,51.3,51.5,#N/A
Aug-05,55.8,55,52.9,49.1,53.7,44.3,53.3,44.2,#N/A,47.7,51.8,51.1,#N/A
Jul-05,53.3,53.2,52.8,50.9,50.6,43.7,51.3,46.6,#N/A,46.4,50.8,51.7,#N/A
Jun-05,55.7,53.4,56.1,49.8,49.8,44.2,53.2,48.1,#N/A,48.4,49.9,50.7,#N/A
May-05,57,55.6,58.2,49.4,53.5,45.2,54.1,45.8,#N/A,47.9,50,50.5,#N/A
Apr-05,62.7,61.3,60.3,54.2,65.2,48.4,61,46.5,#N/A,50.9,51.8,50.4,#N/A
Mar-05,65.2,63.5,63.9,56.9,71.5,47.7,62.8,46.9,#N/A,50.6,51.7,50.2,#N/A
Feb-05,55.6,61.5,59.9,55.2,64.8,47.8,60,47.4,#N/A,49.8,49.7,50.6,#N/A
Jan-05,57.6,60.7,58.3,54.3,63.7,50.1,59,46.6,#N/A,46.6,48.5,50.7,#N/A
