date,syhg,mtkc,gysy,fdc,,,
2011-07-22,2771.14,6264.72,2001.16,2869.33,,,
2011-07-25,2675.24,6083.24,1923.31,2747.38,,,
2011-07-26,2686.29,6091.08,1923.73,2756.51,,,
2011-07-27,2717.26,6180.44,1944.95,2778.87,,,
2011-07-28,2699.74,6274.49,1933.58,2769.2,,,
2011-07-29,2680.92,6152.49,1923.45,2778,,,
2011-08-01,2692.89,6253.04,1936.62,2801.93,,,
2011-08-02,2688.57,6335.61,1927.62,2793.5,,,
2011-08-03,2689.53,6317.75,1927.84,2805.73,,,
2011-08-04,2703.38,6333.18,1936.04,2808.41,,,
2011-08-05,2635.34,6184.71,1891.31,2751.15,,,
2011-08-08,2489.38,5876.52,1803.25,2648.28,,,
2011-08-09,2489,5858.92,1787.04,2679.28,,,
2011-08-10,2514.7,5913.03,1808.66,2725.45,,,
2011-08-11,2549.24,5991.36,1832.91,2775.45,,,
2011-08-12,2576.18,5982.97,1851.6,2784.12,,,
2011-08-15,2603.69,6039.71,1877.71,2820.82,,,
2011-08-16,2599.54,6066.54,1870.18,2788.2,,,
2011-08-17,2596.46,5989.42,1866.02,2773.14,,,
2011-08-18,2542.08,5840.59,1834.12,2713.28,,,
2011-08-19,2518.83,5711.79,1817,2704.49,,,
2011-08-22,2510.7,5702.42,1817.65,2683.94,,,
2011-08-23,2549.82,5775.47,1841.49,2734.72,,,
2011-08-24,2552.39,5738.21,1838.93,2711.94,,,
2011-08-25,2607.81,5974.55,1879.81,2797.86,,,
2011-08-26,2618.04,5949.71,1877.8,2797.58,,,
2011-08-29,2628.55,5862.31,1854.76,2745.28,,,
2011-08-30,2604.29,5848.93,1839.64,2728.95,,,
2011-08-31,2595.47,5878.71,1832.62,2717.44,,,
2011-09-01,2570.43,5832.54,1820.6,2702.35,,,
2011-09-02,2532.15,5745.71,1800.46,2672.77,,,
2011-09-05,2467.04,5524.05,1758.93,2624.57,,,
2011-09-06,2468.96,5481.78,1754.17,2613.62,,,
2011-09-07,2522.1,5633.9,1791,2667.67,,,
2011-09-08,2484.89,5606.28,1784.33,2638.7,,,
2011-09-09,2476.65,5597.28,1776.84,2626.08,,,
2011-09-13,2428.46,5550.13,1758.19,2594.72,,,
2011-09-14,2455.76,5594.59,1772.94,2614.78,,,
2011-09-15,2474.69,5567.51,1774.12,2621.73,,,
2011-09-16,2485.91,5586.49,1765.87,2617.39,,,
2011-09-19,2430.34,5432.04,1730.91,2538.68,,,
2011-09-20,2434.92,5471.65,1734.65,2536.36,,,
2011-09-21,2499.55,5721.8,1781.97,2598.81,,,
2011-09-22,2407.12,5524.69,1736.97,2493,,,
2011-09-23,2390.02,5556.24,1728.55,2470.17,,,
2011-09-26,2342.84,5491.69,1709.38,2408.22,,,
2011-09-27,2377.01,5603.27,1721.46,2405.72,,,
2011-09-28,2339.29,5571.39,1690.15,2360.46,,,
2011-09-29,2315.15,5563.56,1649.92,2327.62,,,
2011-09-30,2297.38,5542.37,1646.66,2326.43,,,
2011-10-10,2226.19,5494.35,1640.82,2282.35,,,
2011-10-11,2223.15,5199.36,1644.76,2270.53,,,
2011-10-12,2312.04,5319.15,1691.33,2356.22,,,
2011-10-13,2337.26,5338.11,1709.25,2379.12,,,
2011-10-14,2323.37,5372.26,1702.75,2370.91,,,
2011-10-17,2320.76,5378.1,1706.83,2369.98,,,
2011-10-18,2260.6,5196.72,1659.53,2292.18,,,
2011-10-19,2260.71,5171.41,1653.12,2271.81,,,
2011-10-20,2240.23,4946.42,1616.64,2211.31,,,
2011-10-21,2209.64,4871.39,1607.81,2202.97,,,
2011-10-24,2258.11,4985.44,1629.11,2257.28,,,
2011-10-25,2306.97,5160,1664.24,2328.11,,,
2011-10-26,2315.7,5191.92,1680.68,2376.19,,,
2011-10-27,2323.51,5201.02,1704.34,2382.54,,,
2011-10-28,2369.62,5393.25,1746.26,2456.12,,,
2011-10-31,2362.82,5365.71,1763.28,2461.81,,,
2011-11-01,2369.99,5331.27,1764.2,2429.66,,,
2011-11-02,2392.23,5370.8,1794.6,2471.88,,,
2011-11-03,2408.07,5385.3,1782.81,2461.15,,,
2011-11-04,2435.29,5425.82,1793.42,2490.77,,,
2011-11-07,2450.2,5437.37,1789.16,2456.11,,,
2011-11-08,2467.32,5484.13,1792.46,2428.95,,,
2011-11-09,2481.68,5520.41,1806.3,2451.42,,,
2011-11-10,2425.12,5417.41,1793.13,2401.79,,,
2011-11-11,2440.41,5417.42,1789.34,2411.53,,,
2011-11-14,2484.63,5597.13,1834.75,2469.77,,,
2011-11-15,2514.63,5608,1868.94,2467.26,,,
2011-11-16,2446.1,5428.61,1815.77,2401.99,,,
2011-11-17,2482.58,5425.88,1826.03,2394.68,,,
2011-11-18,2395.92,5248.65,1769.28,2325.22,,,
2011-11-21,2421.02,5202.05,1767.17,2330.01,,,
2011-11-22,2411.11,5165.94,1782.57,2329.33,,,
2011-11-23,2386.49,5076.47,1783.44,2306.68,,,
2011-11-24,2410.05,5058.58,1774.37,2329.38,,,
2011-11-25,2406.8,5021.77,1764.18,2296.58,,,
2011-11-28,2411.9,5044.42,1771.42,2288.47,,,
2011-11-29,2463.19,5160.3,1791.08,2327.96,,,
2011-11-30,2384.61,4951.04,1741.76,2255.18,,,
